ID,CU,G,ED,EC,E,M1,M2,M3,M4,M5,M6,D1,D2,D3,D4,D5,D6,P1,P2,P3,P4,P5,P6,SP
26,5000,M,3,Soltero,23,0,0,0,0,0,0,4762,4181,3602.3,2896.7,2982.9,3004.6,197.3,142.6,100.1,143.2,106.2,99.7,No
27,6000,M,1,Soltero,27,1,-2,-1,-1,-1,-1,-10.9,-42.5,25.9,-5.7,12.7,-18.9,0,100,0,50,0,100,Si
28,5000,F,3,Soltero,30,0,0,0,0,0,0,2254.1,1613.8,1716.3,1787.8,1893.1,1961.7,130,130,100,150,100,101.2,No
29,5000,F,3,Casado,47,-1,-1,-1,-1,-1,-1,65,341.5,341.6,204,3043,25.7,341.5,342.1,204.4,3043,25.7,0,No
30,5000,M,1,Soltero,26,0,0,0,0,0,0,1532.9,1657.5,1749.6,1790.7,1837.5,1140,150,150,100,100,160,0,No
31,23000,F,1,Soltero,27,-1,-1,-1,-1,-1,-1,1664.6,1726.5,1326.6,1533.9,1430.7,3692.3,1727,1328.1,1533.9,1430.7,3729.2,0,No
32,5000,M,2,Soltero,33,2,0,0,0,0,0,3051.8,2961.8,2210.2,2273.4,2321.7,2368,171.8,150,100,100,100,71.6,Si
33,10000,M,1,Soltero,32,0,0,0,0,0,0,9303.6,8407.1,8288,8095.8,7870.3,7558.9,302.3,351.1,330.2,320.4,320,250.4,No
34,50000,F,2,Casado,54,-2,-2,-2,-2,-2,-2,1092.9,415.2,2272.2,752.1,7143.9,898.1,415.2,2282.7,752.1,7143.9,98.1,5158.2,No
35,50000,M,1,Casado,58,-2,-2,-2,-2,-2,-2,1370.9,500.6,3113,318,0,529.3,500.6,3117.8,318,0,529.3,76.8,No
36,16000,M,1,Soltero,30,-1,-1,-2,-2,-2,-1,3026.5,-13.1,-52.7,-92.3,-148.8,-188.4,13.1,39.6,39.6,56.5,79.2,0,No
37,28000,M,2,Casado,40,0,0,0,0,0,0,18650.3,18132.8,18042.2,17041,17390.1,17741.3,802.6,806,630,640,640,673.7,No
38,6000,F,2,Soltero,22,0,0,0,0,0,-1,1505.4,980.6,1106.8,602.6,-2833.5,1866,150,151.8,204.3,0,4767.1,61.7,No
39,5000,M,1,Soltero,25,1,-1,-1,-2,-2,-2,0,78,0,0,0,0,78,0,0,0,0,0,Si
40,28000,M,1,Soltero,31,-1,-1,2,-1,0,-1,49.8,907.5,464.1,997.6,1797.6,947.7,907.5,0,997.6,800,952.5,78.1,No
41,36000,M,1,Soltero,33,0,0,0,0,0,0,21866.8,22129.6,20689.5,62869.9,19596.9,17922.4,1000,700,600,18884,2800,400,No
42,7000,F,1,Soltero,25,0,0,0,0,0,0,6752.1,6699.9,6394.9,6369.9,6471.8,6597,300,450,404.2,250,280,250,No
43,1000,M,2,Soltero,22,0,0,0,0,0,0,187.7,318.4,600.3,357.6,367,445.1,150,292.7,100,30,100,50,No
44,14000,F,2,Casado,37,0,0,0,0,0,0,5950.4,6154.4,6292.5,6428,6707.9,6980.2,300,300,300,400,400,300,No
45,4000,F,1,Soltero,30,0,0,0,2,0,0,1892.7,2129.5,2592.1,2520.9,2663.6,2919.7,300,500,0,200,300,0,No
46,21000,M,1,Soltero,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Si
47,2000,F,1,Soltero,22,0,0,2,-1,0,0,1402.8,1648.4,1580,1634.1,1667.5,0,300,0,1674.1,33.4,0,0,Si
48,15000,F,5,Soltero,46,0,0,-1,0,0,-2,446.3,303.4,117,117,0,0,101.3,117,0,0,0,0,Si
49,38000,M,2,Soltero,32,-1,-1,-1,-1,-1,-1,2240.1,2154,1513.4,3201.8,1184.9,1187.3,2154,1513.8,2467.7,1185.1,1187.5,825.1,No
50,2000,M,1,Soltero,24,0,0,0,0,0,0,1744.7,1847.9,1947.6,1986.5,2048,2006.3,131.8,131.5,70.4,92.8,91.2,106.9,No
51,7000,M,3,Soltero,42,1,2,2,2,2,0,3704.2,3617.1,3835.5,3942.3,3865.9,3936.2,0,310,200,0,150,150,Si
52,10000,F,3,Otros,43,0,0,0,0,0,0,6155.9,5116.3,4382.4,3961.9,3576.2,3325.8,200,160.6,150,200,150,100,No
53,31000,F,2,Casado,49,-2,-2,-2,-2,-2,-2,1346.5,786.7,760,1118.5,354.4,46.4,787.5,760,1118.5,354.4,46.4,0,No
54,18000,F,1,Soltero,25,1,2,0,0,0,0,4140.2,4174.2,4275.8,4351,4442,4531.9,130,201,176.2,176.2,179,162.2,No
55,15000,F,1,Soltero,29,2,0,0,0,0,0,4622.4,3499.3,3143.4,2651.8,2104.2,1654,160,171.8,104.9,150,200,500,No
56,50000,F,1,Casado,45,-2,-2,-2,-2,-2,-2,190.5,364,16.2,0,15.1,253,364,16.2,0,15.1,253,0,No
57,18000,F,3,Casado,34,0,0,0,-1,-1,-1,1638.6,1579.3,844.1,714.2,-67.9,832.1,850,150,750,67.9,900,200,No
58,18000,F,2,Casado,34,0,0,0,0,0,0,17588.6,17344,17230.8,16860.8,13220.2,12991.8,808.3,729.6,525.3,481.4,481.6,380,No
59,20000,F,1,Soltero,34,-1,3,2,2,2,2,158.7,109.8,78.2,116.6,70,141.4,0,0,70,0,120,0,No
60,40000,F,2,Casado,29,0,0,0,0,0,0,40013.4,39885.7,40420.5,36019.9,35665.6,36408.9,1700,1502.9,3000,1200,1200,2300,No
61,50000,F,3,Casado,28,0,0,0,0,0,0,2284.8,2363.8,1887.8,1493.7,1382.7,1557.1,151.6,130,100,100,200,200,Si
62,7000,M,2,Casado,39,0,0,0,0,0,-1,7080,7206,6993.8,1651.8,1409.6,83,402.5,209.5,100,200,300,0,No
63,5000,M,1,Soltero,29,2,2,2,2,2,2,2498.7,2430,2659.1,2586.5,2766.7,2826.4,0,270,0,222.5,120,0,Si
64,5000,F,2,Casado,46,0,0,0,-2,-2,-2,2871.8,2916.6,0,0,0,0,100,0,0,0,0,0,Si
65,13000,F,2,Casado,51,-1,-1,-2,-2,-1,-1,9.9,0,0,0,235.3,0,0,0,0,235.3,0,0,No
66,20000,M,1,Casado,57,-2,-2,-2,-1,2,2,15251.9,14875.1,14407.6,817.4,819.8,791.8,0,0,822.2,30,0,100,Si
67,1000,M,2,Casado,56,2,2,2,0,0,0,209.7,419.3,397.8,406.2,419.6,432.6,230,0,15,20,20,16,Si
68,21000,F,1,Soltero,30,2,-1,-1,-1,-1,-1,30,30,115.9,228,30,425,30,115.9,228,30,425,90.9,No
69,13000,F,3,Soltero,29,1,-2,-2,-1,2,-1,-19,-985,-985,1031.1,1016.1,731.9,0,0,2016.1,0,731.9,1389.9,No
70,2000,M,5,Soltero,22,2,0,0,0,0,0,1856.5,1720.4,1728.5,1808.5,1120.5,598.2,0,120,100,50,100,0,No
71,8000,M,1,Soltero,31,-1,-1,-1,-1,-1,-1,78,0,39,39,39,39,0,39,39,39,39,39,No
72,32000,M,2,Soltero,29,2,2,2,2,2,2,5826.7,5924.6,6018.4,5862.2,6230.7,6352.6,250,250,0,480,240,160,Si
73,20000,F,2,Casado,32,-1,-1,-1,-1,2,-1,907.6,578.7,-68.4,524.7,384.8,315.1,581.8,1.5,910.2,1.7,316.5,139.5,No
74,29000,F,1,Soltero,37,1,-2,-1,-1,-1,-1,0,0,315.5,0,235.9,0,0,315.5,0,235.9,0,0,No
75,34000,M,1,Soltero,32,-1,-1,-1,-1,-1,-1,304.8,555,2333.7,429.1,8015.3,2582,571.3,2345.3,431.4,8055.2,2594.9,201.6,No
76,2000,M,2,Soltero,24,0,0,2,0,0,0,1461.9,1721.6,1664.2,1697.6,1733.2,1854.3,285,0,61,63,150,0,No
77,5000,M,3,Soltero,25,-1,0,0,0,0,0,4283.8,3722.5,3608.7,963.6,959,1003,175.9,177.9,32,50,100,100,No
78,30000,F,1,Casado,45,-1,-1,-1,-1,-1,-1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,No
79,3000,F,2,Soltero,22,0,0,0,0,0,0,2838.7,2961.2,3032.6,2800.4,2644.6,641.1,168.6,140,56,300,176.5,0,Si
80,24000,F,2,Soltero,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Si
81,47000,F,3,Otros,33,0,0,0,0,0,0,16525.4,15778.4,16270.2,6992.3,2927.1,2988.9,640,756.6,300,96,100,300,No
82,36000,F,1,Soltero,26,0,0,0,0,0,-1,2341.1,2779.6,3040,3310,18000,19.6,479.6,340,310,14690,19.6,296.3,No
83,6000,M,3,Soltero,30,0,0,0,0,0,0,2632.4,2747.1,2810.8,2199.3,1989.9,1977.1,157.6,121.3,64.8,76.8,114,0,Si
84,40000,F,2,Casado,44,0,0,2,0,0,0,13159.5,13906,12681.9,10443,10499,9405.8,1070,0.3,305,300,320,280,No
85,5000,F,3,Soltero,49,0,0,0,0,0,0,4890.9,4786.3,2148.9,2041.4,1934.2,1948.2,167.6,130.2,70,69.9,84.9,82.6,No
86,16000,M,2,Soltero,33,0,0,0,0,0,0,13002.8,10780.8,7193.4,11841.8,11840.7,12041.8,440,354.7,8000,450,480,450,No
87,36000,F,1,Casado,45,-1,-1,2,0,-1,-1,39,117,78,39,39,39,117,0,0,39,39,39,Si
88,16000,F,2,Soltero,32,0,0,0,0,0,-1,382.6,475.1,660.4,860.4,707.2,76.6,114.7,200,200,0,76.6,230.3,No
89,13000,F,1,Casado,35,0,0,0,-1,-1,-1,8131.3,11786.6,1774,133,709.5,119,4000,500,133,709.5,119,209,No
90,2000,M,3,Soltero,44,2,2,0,0,0,2,858.3,830.3,965.1,1048.8,1231.4,1197,0,165.1,100,200,0,150,No
91,20000,M,1,Casado,53,2,2,2,2,2,2,13818,14077.4,14246,14409.8,14712.4,14953.1,630,550,550,550,500,500,Si
92,28000,F,1,Soltero,39,-1,-1,-1,0,0,-2,752.4,0,396.8,386.8,0,0,0,396.8,0,0,0,0,No
93,10000,F,1,Soltero,27,-2,-2,-2,-2,-2,-2,-200,555.5,0,0,0,0,755.5,0,0,0,0,0,No
94,16000,F,2,Casado,37,-1,-1,-1,-1,-1,-2,88,160.2,84,84,0,0,160.2,84,84,0,0,773.6,No
95,6000,F,2,Soltero,23,0,0,0,0,0,0,4564.8,4685,4721.4,1959.5,1920.9,1932.3,193.7,130.1,68.2,69,81.6,83.5,No
96,9000,M,2,Soltero,35,0,0,0,0,0,0,8372.5,8599.6,8765.3,3556.5,3094.2,3083.5,362.1,359.7,117.9,111.2,110.4,114.3,No
97,36000,M,1,Casado,43,-1,-1,-1,-1,-1,0,396.7,832.2,339.4,645.1,2637,995.6,833.9,339.4,1290.2,2700,0,6897.8,No
98,15000,M,1,Soltero,27,0,0,0,0,0,0,8600.9,8610.8,8900.6,8977.5,8772.5,4078.8,403.1,1000.6,326.6,404,169.8,80,No
99,5000,F,3,Casado,22,0,0,0,0,0,0,1872.2,1816,1699.7,1315,886.6,789.9,141.1,119.4,37.9,28.1,32.1,19.7,No
100,2000,M,2,Casado,38,0,0,0,0,0,-1,1797.3,1936.7,1955.9,1824,1792.8,15,169.9,146,62.6,175,15,0,Si
101,14000,M,1,Soltero,32,-2,-2,-2,-2,-2,-2,67.2,1021.2,85,41.5,10,143,1021.2,85,41.5,10,143,0,No
102,38000,F,1,Soltero,30,-2,-2,-1,0,0,0,-8.1,-30.3,3247.5,3289.1,3356.4,3405.6,22.3,3317.8,117.1,119.7,125,500,No
103,48000,M,1,Casado,63,0,0,0,2,2,0,42206.9,43134.2,47943.2,48706.6,47114.5,46996.1,1607.8,5569.3,1700,0,1800,2420,No
104,5000,F,3,Soltero,22,0,0,0,0,0,0,4469.8,4225.4,3834.7,3249.6,2347.7,2409.4,176.7,136.2,100.2,84,99.5,90.4,Si
105,6000,F,2,Soltero,26,2,2,2,2,2,0,5668.5,5520.8,5917.5,6021.8,5544.7,5530.5,0,500,251.1,0.6,300,300,No
106,7000,F,2,Soltero,24,-1,-1,-2,-2,-2,-1,558,0,0,0,0,2652.9,0,0,0,0,2652.9,200,No
107,8000,F,2,Casado,36,-1,-1,-1,-1,-1,-1,610.8,286.1,327.7,331.9,115,115,286.1,327.9,331.9,115,115,103.5,No
108,35000,M,1,Soltero,52,-1,-1,-1,-1,-1,-1,71.3,227.2,72.2,86.7,115,526.3,227.2,72.2,86.7,115,526.3,501.1,No
109,13000,M,2,Soltero,38,0,0,0,-1,-1,-1,17143.8,17838.2,3994,12048.3,4412.7,12656.8,1090.8,0,13365.7,456.6,13384.1,479.6,No
110,36000,M,2,Casado,35,1,-2,-2,-2,-2,-2,-10.3,-10.3,-10.3,-10.3,-10.3,-10.3,0,0,0,0,0,0,No
111,33000,F,1,Casado,31,0,0,2,0,0,0,10587.9,10843.1,10559.4,10589.6,10649.1,10728.9,926,0,359.3,410,1579.4,0,No
112,5000,M,3,Casado,47,0,0,2,0,0,0,1324.4,1472.2,1518.1,1592.8,1667.1,1739.3,200,100,100,100,100,100,No
113,28000,M,2,Casado,41,2,2,2,2,2,3,13567.3,13853.2,13481.3,14440.1,15217.4,14941.5,650,0,1425.4,1485,0,500,No
114,10000,F,1,Soltero,24,0,0,0,0,0,0,5212.8,5269.2,5447.7,5607.6,6010,5971.3,200,267.7,307.6,508,300,203.3,No
115,5000,M,2,Soltero,41,0,0,0,0,0,0,1901.5,1929.4,2025.9,2027.4,2031.1,1995.7,134,130.5,70,71.8,72.4,68.4,No
116,3000,M,1,Soltero,24,-1,2,0,0,3,2,1819.9,1761.8,1863.1,2131.9,2069.2,2120.1,0,131.2,300,0,100,100,Si
117,24000,M,1,Soltero,28,-1,-1,-1,-1,-1,-1,32.6,32.6,32.6,567.6,47.6,32.6,32.6,32.6,567.6,47.6,32.6,52.6,No
118,8000,M,2,Soltero,26,2,0,0,0,0,0,1402.9,1549.3,1663,1705.5,1762.9,1818.6,200,170,100,100,100,100,Si
119,40000,M,2,Casado,34,-1,-1,-1,-1,-1,-1,1966,966.6,1186.7,783.9,1483.7,795.9,967.7,1186.7,783.9,1483.7,795.9,571.2,No
120,24000,F,2,Soltero,38,0,0,0,0,-1,-1,5025.4,5144.5,5301.5,5247.9,130.7,120.3,200,300,300,130.7,120.3,56.3,No
121,5000,M,3,Soltero,37,2,2,2,3,2,2,4600.4,4597.6,4895.3,4885.1,4931.8,5114.3,100,403.5,100,140,280,0,Si
122,45000,M,1,Casado,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Si
123,11000,F,1,Casado,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,No
124,31000,F,2,Casado,35,2,0,0,0,0,0,30499.1,31124.3,30631.4,25861,24649.1,19888.9,1301.9,1112.8,840.7,859.9,683.3,598.7,Si
125,2000,M,1,Soltero,27,0,0,0,0,0,0,1911.5,1896.2,1929.8,1937.8,1971.7,1563,140.4,113,60,86.1,31.3,0,No
126,2000,M,2,Soltero,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,No
127,20000,M,3,Soltero,52,0,0,0,0,0,0,11015.1,9953,9895.1,10091.4,10314.6,10499.3,356.8,358.5,360.2,384.8,366.9,378.4,No
128,18000,M,1,Casado,36,0,0,0,0,0,0,16373.6,11642.2,9927.8,9576.6,9775.3,9592.7,465.5,269,206.7,214.2,221.7,100,Si
129,5000,M,2,Casado,51,0,0,0,0,0,0,334.7,389.9,450.3,534.7,637.5,707.7,100,106.6,130,150,120,13.4,Si
130,6000,M,3,Casado,55,3,2,2,0,0,0,6052.1,6145,5724.4,2885.3,2951,2654.7,250.4,0.7,120,120,110,150,No
131,3000,F,1,Soltero,23,1,-2,-2,-2,-1,-1,400,564.5,350.8,-2.7,1374.4,590.6,564.5,350.8,2.7,1377.1,591.1,302.4,No
132,24000,M,1,Soltero,41,1,-1,-1,0,0,-1,9.5,262.2,330.1,316.4,36,173.7,262.2,330.1,0,36,173.7,92.4,No
133,42000,M,2,Casado,34,0,0,0,0,0,0,25345.4,24774.3,22904.9,22095.1,21060.6,18810.8,974.4,955.3,760.3,783,725.3,1132.6,No
134,33000,M,3,Casado,46,0,0,0,0,0,0,22738.9,22871.9,22964.4,22758.7,22777.5,22820.3,821,809.5,802.5,817.5,839.1,820,No
135,3000,F,2,Soltero,22,0,0,0,0,0,0,2845.2,2614.5,2671.2,2535,1760.3,-78,200,140,0,50,0,156,No
136,24000,M,2,Casado,34,0,0,0,2,2,2,1067.4,1203.5,1368.1,1326.9,1415.8,1389.1,150,180,0,100,0,32.7,No
137,15000,M,1,Soltero,27,0,0,0,0,0,0,1744.4,1934.2,2200,2461.4,2720,3022.9,250,300,300,300,350,500,No
138,21000,F,2,Casado,33,0,0,0,0,0,0,716.6,799.7,879.2,918.9,440.4,570.8,150,150,100,50,200,54.6,No
139,5000,F,3,Casado,51,-1,-1,-1,-1,-2,-2,75.2,30,588,0,0,0,30,588,0,0,0,0,Si
140,5000,M,1,Soltero,24,0,0,0,0,0,0,5080.1,5014.3,4958.6,1943,1937.5,1899.5,236,170,100,90,87,213,No
141,24000,M,1,Soltero,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,Si
142,18000,M,2,Soltero,28,-1,-1,-1,-1,-1,-1,183.2,0,83.2,33.2,41.6,41.6,0,41.6,33.2,50,350,83.2,No
143,5000,M,2,Soltero,23,1,2,2,2,0,0,1013.1,1083.3,2058.3,1999.6,1987.9,1806.5,100,1000,40,70,80,60,No
144,17000,M,2,Soltero,29,-2,-2,-2,-2,-2,-2,1215.9,1000,1000,1000,998.3,1584.6,1000,1000,1000,998.3,1586.3,1000,No
145,2000,M,1,Soltero,29,-1,-1,-1,-1,0,-1,119.9,1558.6,34.4,234,670.2,33.9,1558.6,34.4,234,470.2,33.9,33,No
146,5000,M,1,Soltero,28,0,0,0,0,0,3,499.9,591.3,731.5,919.5,1062.4,1013.8,100,150,200,158.3,110,0,No
147,17000,F,2,Soltero,27,0,0,0,0,0,0,1926.9,2031.3,2085.2,1756,1791.8,910,166.1,120,35.1,35.8,18.2,0,Si
148,20000,M,1,Soltero,34,1,2,0,0,0,0,19723.6,17619.2,9306.9,13566.8,13223.3,5987.5,800,500,5550,500,500,850,No
149,8000,F,2,Casado,23,1,2,3,2,0,0,916.8,1052.2,1020.5,989.8,1012.3,1203.4,165,0,0,37.9,209.1,0.1,No
150,26000,F,1,Casado,60,1,-2,-1,-1,-1,-1,-110,-110,2140,0,96.9,86.9,0,2250,0,96.9,100,0,No
151,14000,M,2,Casado,32,0,0,0,0,2,0,8662.7,7814.2,6833.6,6464.8,5831.9,5525.1,345.5,311,500,0,210,260.2,No
152,8000,M,1,Soltero,25,0,0,0,0,0,0,4244.4,5574.4,4347.6,4108.7,4195.1,3182.6,3000,300,600,800,200,1400,No
153,35000,M,1,Soltero,41,1,-1,-1,-1,-1,-2,20.8,290.6,100,63,0,0,290.6,100,63,0,0,0,No
154,28000,F,2,Casado,56,0,0,0,0,0,0,20877.5,18235,13225.7,10178.3,17714.5,16931.1,804.2,670,513.7,10000,700,632.1,No
155,3000,F,3,Soltero,26,0,0,0,0,0,0,901.4,1040.6,1142.7,1193.5,1308.4,1420.6,170,150,100,150,150,150,No
156,14000,M,1,Casado,34,0,0,0,0,0,0,2394.4,2804.9,3207.3,4312.9,4708.6,4869.9,500,500,1188.5,500,300,550.4,No
157,20000,F,1,Soltero,37,0,0,0,0,0,0,10542,10287,8964.3,9093.8,9250.5,9403.1,400,325,325,350,356,500,No
158,20000,F,3,Soltero,30,0,0,0,0,0,0,19603.1,19614.3,18952.4,16716.3,14697.5,12232.4,730,710.8,768,620,500,450,No
159,21000,M,3,Casado,45,2,3,4,4,5,6,11578.5,12290.4,12984.7,13727.7,14553.3,15410.5,1047.8,1047.8,1107.8,1107.8,1167.8,1047.8,Si
160,5000,M,3,Casado,57,3,2,0,0,0,0,1285.4,1236.2,1344.7,1342.7,1371.1,1408.3,0,160,50,50,60,60,No
161,3000,M,1,Soltero,41,2,2,2,2,2,0,2435.7,2745.3,2671.8,2816.8,2757.9,2832.1,350,0,220,0,120,125,No
162,5000,M,2,Soltero,27,2,-1,-1,-1,-1,2,39,39,78,21.6,108,54,39,78,21.6,86.4,0,39,No
163,29000,M,3,Casado,47,-1,-1,-1,-1,0,-1,123.4,39.6,39.6,79.2,39.6,42.3,39.6,39.6,79.2,0,42.3,36.9,No
164,25000,F,1,Casado,34,0,0,2,0,0,0,14122.3,15685.8,15184.1,15280.3,15599.7,16022,1799.4,0,546.9,565.6,681.1,392,No
165,6000,F,2,Casado,46,0,0,0,0,0,0,2114.8,2380.3,2490.8,2603.4,2665.5,2775.6,300,150,150,100,150,150,No
166,11000,F,1,Soltero,27,0,0,0,0,0,0,10164,10479.5,10485.5,7473.7,7605.8,7725.4,550,390,300,290,300,280,No
167,37000,M,1,Soltero,50,-2,-2,-2,-2,-2,-2,609.3,1513,820.4,1539.8,479.2,1345.3,1538.3,820.4,1541.3,479.2,1345.3,469.9,No
168,10000,M,2,Casado,27,-1,2,2,0,0,0,10234.9,9684.7,5882.4,2933.6,2297.9,-24.6,316.6,0,133,139.8,1.2,5000,No
169,9000,F,2,Casado,35,0,0,0,0,0,2,7211.2,7385.4,7552.6,7731.7,8585.2,8829,350,350,365.2,1000,400,0,No
170,5000,F,2,Soltero,22,0,0,0,0,0,0,2804,2909.2,2936.6,2773.7,2831.8,2880.6,151,144.2,98.2,101.7,127.7,56.7,No
171,27000,M,2,Soltero,37,0,0,0,0,0,0,3769.5,3339.7,3053.4,2759.8,2634.4,2464.1,500,200,300,400,300,200,No
172,30000,F,1,Soltero,30,-1,-1,-1,-1,-1,-1,68.8,328,0,434,267.2,80,328.8,0,434,267.2,80,74.6,No
173,5000,O,2,Soltero,22,-1,0,0,0,0,0,856.7,1527.3,1165,745.7,311.5,772.5,1500,100,14.9,0,500,1000,No
174,5000,F,1,Soltero,24,1,-2,-2,-2,-2,-2,-70.9,-70.9,-70.9,-289.8,-327.2,-327.2,0,0,0,0,0,0,Si
175,36000,M,1,Soltero,29,1,-2,-1,-1,-2,-2,0,0,7.7,0,0,0,0,7.7,0,0,0,0,No
176,13000,M,3,Casado,56,1,2,2,2,2,3,6461.7,6597.8,6728.2,6855.7,7279.6,7134.5,300,300,300,550,0,0,Si
177,8000,M,1,Soltero,30,-2,-1,0,0,0,0,618.7,10,60,143.8,191.9,538,50.4,50,100,50,350,0,No
178,5000,M,2,Soltero,30,1,2,0,0,0,2,4886,4780.1,4836.3,3022.1,2287.7,2236.1,0,150,100,200,0,200,No
179,2000,F,2,Soltero,22,0,0,0,0,0,0,1600.1,1262.2,1322.1,1313,1403.4,1490.6,121.2,120.1,50,150,150,100,No
180,8000,F,2,Casado,29,0,0,2,0,0,0,7788.3,8181.1,8025,6146.7,1066.2,1148.6,580,100,60,40,100,0,No
181,24000,M,1,Soltero,37,-1,-1,2,0,0,-1,1221.2,2657.8,2533.1,2660.5,2627.9,125.6,1500,0,200,0,125.6,6593.5,No
182,8000,F,3,Soltero,35,0,-1,0,0,0,0,4960.8,1241.2,1487.3,1736.4,1777,1746,1250,650,300,200,300,200,No
183,50000,F,1,Casado,47,0,0,0,0,0,0,5642.2,11061.6,11034,12296.7,10883.4,7006.4,7001,3035.7,3000,2000,5218.3,2000,No
184,6000,F,2,Casado,24,0,0,0,0,0,0,5802.4,5789.1,4883.9,1897.1,1932.3,1939.5,250,160,300,100,73.7,200,Si
185,2000,M,2,Soltero,25,0,0,0,0,0,-1,1064.2,1167.7,1307,1228,161.5,162,120,159.3,60.1,13.5,182.4,0,No
186,10000,F,2,Casado,38,1,2,0,0,2,0,1448.3,1396.1,1532.3,1626.8,1586.8,1644.8,0,160,150,0,100,150,Si
187,36000,F,1,Soltero,32,1,-1,-1,-1,-1,-1,261.6,5707.7,528.7,6844.5,1388.1,1624,5708.7,529.5,6845.4,1388.9,1625,3831.3,No
